timestamp,engine_value,nitrous_value
41.837509,13.19,0.18
41.932204,12.57,0.20
42.021583,12.03,0.21
42.115929,11.54,0.20
42.205878,10.94,0.16
42.300083,10.37,0.18
42.390194,9.97,0.20
42.484663,9.64,0.18
42.574554,9.28,0.19
42.669013,8.94,0.18
42.759173,8.52,0.17
42.852846,8.18,0.17
42.943526,7.91,0.17
43.037805,7.46,0.18
43.127679,7.16,0.17
43.221968,6.95,0.17
43.311546,6.69,0.17
43.40584,6.45,0.13
43.495829,6.26,0.13
43.590324,6.08,0.13
43.68041,5.78,0.12
43.775122,5.66,0.13
43.868917,5.54,0.16
44.327602,-10.68,0.13
44.810968,0.26,0.11
44.901184,0.30,0.15
44.991079,0.28,0.12
45.081124,0.33,0.09
45.166973,0.27,0.13
45.257276,0.24,0.13
45.347359,0.32,0.11
45.437423,0.33,0.11
45.527652,0.30,0.14
45.617842,0.26,0.13
45.707935,0.30,0.11
45.79788,0.29,0.11
45.888668,0.29,0.13
45.939312,0.0,0.14
46.02707,0.0,0.11
